id,日本語名,系譜,段,性別,体格,向き,カメラ,象徴形,服の傷み,内側の密度,姿,個別の注意,現状,所見
ancientdragon,古代竜,whelp,3,－,大,浅い斜め20,見上げ,枠を越えて広がる巨大な翼と、長く垂れる尾／光を吸い込む蒼黒の鱗,－,ふつう,永い時を生きた成竜。**地に足を着けず、空中に座している**。上体を起こし、やや後ろへ傾けた「玉座に座す」姿勢で、四本の脚すべてが地から離れている。前脚は自然に垂れ、爪を軽く開いて何も掴んでいない。後ろ脚は体の下に畳む。**翼は左右へ限界まで大きく広げ、打ち下ろす途中のように張っている。大きすぎて左右の先端が枠から切れてよい。**広げた翼は、空に引かれた**夜のとばり**のように見える。膜の破れ目から向こうが透け、そこだけが夜空を切り取ったように暗い。**尾は胴の二倍ほどの長さで、体の後ろから遠く下へ垂れ、大きくうねりながら枠の下へ抜けていく。**首を大きく反らせて頭を高く上げ、口を開けて咆哮する。喉は震え、首すじと背の鱗が逆立つ。全身を厚い鱗の板が覆い、頭に一対の長い角。鱗は深海のような藍黒で、光を反射せず吸い込む。翼の膜は永い年月で裂け、縁が大きく欠け、あちこちに穴が開いている。目は見開かれ、鋭い。長い時を独りで越えてきた者の、孤高の存在感。,三の段。**幼竜も竜も地に立つ。古代竜だけが宙に浮く**。これがこの段の最大の印／四本の脚すべてを地から離す。足の裏が見え、指は軽く曲がって何も掴んでいない。踏みしめる形にしない／**翼は画面いっぱいに広げる。左右の先端が枠の外へ切れてよい**。翼が大きいほどよい／**尾は胴の二倍の長さ。枠の下へ抜けてよい**／**顔・首・胴・後ろ脚は必ず枠の内側に収める**（切れてよいのは翼の先端と尾の先だけ）／体の軸をやや後傾させ、尾を長く下へ垂らす。これで「立っていない」ことが分かる／孤高・威厳・永い時。若い竜の勢いではなく、一体だけで完結している存在として描く／静けさは炎の不在で、荒々しさは咆哮と逆立つ鱗で出す。両方を同時に成立させる／**口を大きく開けて咆哮させる。ただし炎も光も煙も、口から一切出さない**。空っぽの咆哮にする／【全体の見立て】この竜は「夜のとばり」そのもの。広げた翼が空を覆う帳、鱗の隙間から漏れる青い光は雲間にのぞく星。ただし背景・夜空・雲・星は一切描かない。すべて竜の体の上だけで表す／【色】蒼黒。温度が白金をさらに超え、青を通り越して「見えなくなった」色。黒は闇の属性ではなく熱の極致。邪悪系の淀んだ黒とは別物／鱗の隙間から、かすかに青い光が漏れる。光る要素はこれひとつだけ／翼の膜は永い年月で裂け、縁が欠け、穴が開いている（この段だけ。竜の膜は無傷）／地面・台・雲・岩・影の帯を描かない。何にも触れていない／後光なし,合格（v2）,三の段。炎温ロジックの終点（朱赤→白金→蒼黒）。幼竜・竜が地に立つのに対し、古代竜だけが宙に座す。荒々しさは咆哮で、静けさは炎の不在で担う。見立ては「夜のとばり」（翼＝空を覆う帳／鱗の隙間の光＝雲間の星）。この一体だけ、翼と尾が枠から切れてよい＝画面に収まらない大きさとして扱う／第16便v4で合格（翼を枠外まで／尾を長く）。この一体だけ絵が四辺に接する＝全面ぶち抜き
phantom,幻弓士,archer,2,男,小,半身55,正面,弓兵の弓をはるかに超える太い銀の大弓を、斜め45度の上へ引き絞る姿,使い込まれている,ふつう,弓兵と同じ野性味のある立ち姿から、上を狙う構えへ。深く腰を落とし、両脚を大きく開いて踏ん張り、上体をやや後ろへ倒す。**弓を斜め45度の上（右上）へ向けて引き絞っている。**弓は木ではなく、分厚い銀の大弓。弓兵の細い木弓とは比べものにならない太さと張りがあり、弓幹（ゆがら）は握りの部分で腕ほどの太さ、弦も太い。全身の力を使って引いているのが分かる。左腕をまっすぐ高く伸ばして弓を支え、右手で弦を耳の後ろまで引く。矢はまだ放っていない。その矢の先の空間に、すでに放たれたはずの矢の残像が三本、斜め右上へ薄く重なって伸びている。頭巾は目元まで下ろし、口元は布で覆う。装束は体に沿う濃い青灰（藍鼠）。,**弓は斜め45度の上（右上）を狙う**。水平に構えない。弓の上下の先端を体の輪郭の外へ出す／**弓の太さと力強さが最大の見どころ**。弓兵の弓の三倍の太さに見えるくらい誇張してよい（Heroic Accent）。引き絞られて大きくしなり、弦が張り詰めている／残像の矢は輪郭だけの半透明で、斜め右上へ三本。実体のある矢は手元の一本だけ／二の段。金は弓の握りの一箇所だけ。宝石なし／**外套の裾を細切れに裂かない**（「使い込まれている」＝汚れと擦れはあるが破れていない）。ぼろぼろに裂くのは狂戦士だけ／【色】外套・頭巾・上衣は濃い青灰（藍鼠）。銀の大弓と同じ寒色でまとめる。革の帯・ブーツ・矢筒は灰茶のまま残し、青灰の中で唯一の暖色として輪郭を切る／弓兵（茶と深緑の粗い布・細い木弓・水平に構える）との差は、太い銀の大弓・45度の仰角・寒色の装束／後光なし。矢は光らせない,合格（v2）,二の段。道具（弓）が特別になる段。仰角45度と弓の太さで、弓兵と一目で見分ける／色はA案（藍鼠）を採用。黒緑は弓兵と近すぎた／第17便の色違いA案（藍鼠）をそのまま採用。仰角は比較シートのやや立った構え
divinearcher,神弓士,archer,3,男,小,浅い斜め20,見上げ,手を離れて宙に留まる彫りの入った白木の弓と、扇形に広がる六本の矢,整っている,簡素,弓を構えていない。両腕を下ろし、背筋を伸ばして静かに立っている。弓は手から離れ、体の右横の空中にそのまま静止している。弓身は磨き上げた白木で、**全長にわたって細い彫りの文様が刻まれ、骨と鈍い銀の象嵌が入っている**。**その弓の前に、六本の矢が扇形に広がって浮いている。**根元は弓のあたりの一点に集まり、先へ行くほど上下へ均等に開いていく。六本とも穂先を右（敵の方）へ向け、いままさに放たれて散っていく形。誰も触れていない。視線は矢と同じ方向の、はるか遠くを見ている。装束は白に近い生成りの厚い麻で、袖は肘から先を絞る。頭巾はかぶらず、束ねた髪が見える。,三の段。本人は動かない。動いているのは浮いた弓と、浮いた三本の矢だけ／**六本の矢は実体のある矢**。半透明にしない（半透明の残像は幻弓士のもの）／**六本は扇形**。根元を一点に集め、先へ行くほど上下へ均等に開く。平行に並べない。本数は必ず六本／弓にも矢にも、手を触れさせない。矢筒は空か、描かない／弓の装飾は彫りと象嵌のみ。**金と宝石は使わない**（三の段は素材で上げる）。白木・骨・鈍い銀の三色にとどめる／後光を描かない。光らせるのは弦のかすかな残光ひとつだけ。矢は光らせない／弓と矢を体の輪郭の外に浮かせる／幻弓士（引き絞る・半透明の残像三本・斜め上へ平行）との差は、構えないこと・実体の矢六本・扇形に広がること・白い衣,合格（v2）,三の段＝本人は動かず、周囲で示す。幻弓士の「残像三本（平行）」に対して、こちらは「実体六本（扇形）」／第17便v3で合格。浮く弓＋扇形の実体矢六本
royalguard,王宮護衛,shieldguard,2,男,小,斜め35,正面,体の前に据えた、背丈ほどの大きな長方形の塔盾,整っている,ふつう,磨かれた重い板金の全身鎧。面頬を下ろした兜で、目の隙間だけが細く見える。**背丈ほどある大きな長方形の塔盾**を、体の正面にやや斜めに据え、左手で内側の把手をしっかり握る。**盾がこの絵の主役**で、体の半分近くを覆っている。盾の面には王家の紋章がひとつだけ、大きく置かれている。右手で剣を抜き、切っ先を斜め下へ向けて下げる。両足を肩幅に開き、重心を落として一歩も動かない構え。腰から下に長い陣羽織。,二の段。道具（盾）が特別になる段。金は盾の縁を一本だけ細く走らせる。宝石なし／**盾は必ず大きな長方形（塔盾）**。円形にしない（円は護衛兵のもの）／盾の紋章は大きくひとつだけ。細かい模様で埋めない／護衛兵（傷んだ鉄・円い盾・顔が見えない）との差は、磨かれた鋼・四角い塔盾・目の隙間が見えること・青と金の陣羽織／色は磨いた鋼の白銀＋濃紺の布＋金の縁一本／盾の上下を枠の内側に収める／後光なし,合格（v2）,第24便v1で合格（四角い塔盾・磨いた鋼・濃紺と金の陣羽織・獅子の紋章）
kingshield,王の盾,shieldguard,3,男,小,浅い斜め20,見上げ,片膝をついて地に突き立てた誓いの剣と、傍らに立てた白銀と金の大盾,整っている,ふつう,**片膝をついて王への忠義を示す姿。**右膝を地につき、左膝を立てて、上体はまっすぐ起こす。右手で剣の柄頭を上から包むように握り、剣身を体の正面に垂直に立てて、切っ先を真下へ突き立てている。剣身は胸の高さから画面の下端まで、一本の縦の線を通す。左腕には**特別な大盾**。腕を通して体の左側に立て、盾の下端を地につけて支える。盾は白銀の地に金の装飾が縁と面を走り、紋章の地は深紅で、中央に王家の紋章が大きく据えられている。無傷。鎧は白銀に磨かれ、肩と胸に金の縁取り。**兜には大きな立て飾り（クレスト）**が額から後ろへ高く伸びる。面頬は下ろしたままで顔は見えない。背から長い外套が後ろへ流れ、立てた膝の脇に溜まる。動いていない。,三の段。素材が変わる段：鋼→白銀、革→金。この段だけ金を大きく使ってよい／**片膝をつく。右膝が地、左膝を立てる**。棒立ちにしない。上体・剣・盾の三つで、低い三角形の安定した構図を作る／**剣は体の正面で垂直**。柄頭が胸の高さ、切っ先が真下。斜めに構えない。振らない／**地面・台・床・影の帯は描かない**（共通指定）。膝と剣の切っ先と盾の下端は、画面の下端で自然に終わらせる。地面を描かずに「突き立てている」と分かるようにする／**盾は白銀＋金で、三体の中でいちばん豪華**。護衛兵＝鉄の円盾、王宮護衛＝濃紺と金の四角い塔盾、この者＝白銀と金の大盾、と一目で格が上がって見えること／**兜の立て飾りを大きく**。ただし翼の形にしない（翼は神獣系の印）。金の櫛形・王冠形にする／カメラは見上げ。低い姿勢でも見上げることで、こちらを圧する大きさを出す／顔を見せない。面頬は下ろしたまま／盾に傷や欠けを描かない／外套は長く流してよいが、裾を細切れに裂かない（整っている）／後光なし。光る要素は2つまで（金の反射で表し、発光させない）／兜の立て飾りと盾の上端を枠の内側に収める／【色】布は深紅の絹（王宮護衛は濃紺の麻）。鎧は白銀、装飾は金。深紅・白銀・金の三色でまとめる／盾は裏の持ち手を握って構える。手は盾の裏なので見えない／盾の形は上が丸く下が深く尖った大盾。角ばった長方形にしない（それは王宮護衛）／盾の上端は兜の覗き穴（目）の高さ。小さくしない。王宮護衛の塔盾より一回り大きく／兜の右側に、兜の幅ほどの背景の空きを作る（縦長の札で頭が盾に埋もれないため）,合格（v2）,三の段＝本人は動かず、誓いの構えで示す。片膝＋垂直の剣＋大盾で低い三角形をつくる／第25便v3で合格。136pxで濃紺（王宮護衛）と深紅（王の盾）が分かれることを実寸で確認／第25便v5で合格。盾は目の高さまで大きく、横へ離して頭のまわりを抜いた
necromancer,死霊術師,shaman,2,男,小,半身55,正面,頭蓋骨を戴いた杖と、周囲に浮く数本の骨の手,すり切れている,ふつう,深く頭巾をかぶった痩せた男。頭巾の奥に落ちくぼんだ目と鼻から下が見える。左手で長い杖を立てて握り、その先端には人の頭蓋骨が一つ据えられている。杖の周囲、腰から肩の高さに、肘から先だけの骨の手が四、五本、宙に浮いて杖の方へ伸びている。外套は幾重にも重ねた黒紫の布で、裾がすり切れて糸が垂れる。,二の段。骨の量で段を示す：杖の頭蓋骨ひとつ＋浮く骨の手が数本／本人はまだ生身。肌と目がある／浮く骨の手は白骨のみ。肉や皮を付けない／金は使わない。宝石なし／呪術師（骨の護符ひとつだけ）との差は骨の量／後光なし。光らせるのは頭蓋骨の眼窩に灯る紫の火ひとつだけ／杖の先を体の輪郭の外へ出す,合格（v2）,邪悪系の段は骨の量。一＝護符ひとつ→二＝頭蓋骨の杖と浮く骨の手／第26便v1で合格
lich,リッチ,shaman,3,－,小,浅い斜め20,見上げ,本人が骸骨であることと、手から離れて浮く杖,ぼろぼろ,簡素,本人が骸骨になっている。頭巾の奥は完全な頭蓋骨で、眼窩には青白い火が二つ灯る。指も骨だけで、袖口から見えている。杖は手から離れ、体の右横の空中に垂直に浮いて静止している。外套は色が抜けて灰白になり、裾が長く裂けて漂う。両腕を軽く広げたまま、動いていない。,三の段。骨の量の終点＝本人が骸骨／性別を示す特徴を描かない／杖を握らせない。必ず宙に浮かせる／浮く骨の手は描かない（それは二の段の印）／金も宝石も使わない。色は灰白と骨の色、火だけが青白い／後光なし。光は眼窩の火ふたつだけ／外套の裾を枠の外へ出さない／「ぼろぼろ」はリッチと狂戦士だけに許す（死者なので例外）,合格（v2）,三の段＝本人は動かず、浮く杖で示す。「名前を忘れた」を、顔の不在と色の喪失で表す／第26便v1で合格
ancient,古代兵,golem,2,－,大,斜め35,正面,層をなす装甲のような石の体と、青白く光る胸の核／目地を走る苔の緑,－,ふつう,ゴーレムより一回り大きく、**屈強で機械のような体。**石が装甲板のように層をなして重なり、肩・胸・腰・膝が張り出している。関節には円い石の軸受けが見える。**長く地に埋もれていたため、石の目地と窪みに苔の緑が入り込み、それが体じゅうのハイライトになっている。**体の表面には古代の幾何学的な文様が彫り込まれ、その溝が**青白く光る。**頭は角ばった石の塊で、**目にあたる隙間が青白く光る。**口はない。胸の中央には**青白く光る円い核**が嵌っている。大槌を両手で構えている。右手で柄の中ほど、左手で柄の端を握り、槌の頭を胸の高さまで持ち上げて体の前へ斜めに構える。腰を落とした戦闘態勢。**全身が枠いっぱいに描かれ、頭が枠の上端に接する。**,二の段。**屈強で機械的**＝石が装甲板のように層をなし、関節に軸受けが見える。ゴーレム（人に近い体つき・なめらかな小さい石）との差はここ／**苔の緑がハイライト。**目地と窪みにだけ入れる。全体を緑で覆わない。（ゴーレムは苔なし。ここで年月の差を出す）／**光る要素は2つまで＝目と胸の核。**どちらも青白い（ゴーレムは琥珀の目だけ）／文様の溝も淡く光ってよいが、体じゅうを光らせない／**大槌を両手で構える**（ゴーレムは片手で低く提げる）。腰を落とし、動いている／**枠いっぱいに大きく描く。頭が枠の上端に接する**／目も口も、目の隙間以外は描かない／大槌ひとつだけ。鎧も装身具も布も一切なし／色は砂色から灰＋苔の緑＋青白い光。後光なし,合格（v2）,二の段。屈強・機械的・苔の緑がハイライト・青白い目と胸の核。枠いっぱい／第30便v1で合格（苔の緑・青白い核・大槌を両手で構える）
colossus,古代巨神,golem,3,－,大,浅い斜め20,見上げ,塔のような柱の左腕と、王冠を戴いた頭と、金色に光る胸の核,－,ふつう,神殿がそのまま巨人の形に組み上がったもの。三体の中でいちばん大きく、**全身が枠いっぱいに描かれ、頭が枠の上端に接する。****左腕は円柱の塔そのもの**で、肩から手にかけて太い石の胴が積み重なり、上端には建物の胴蛇腹のような輪飾りが回っている。腕というより歩く塔に見える。右腕は装甲板のように石が層をなし、太い拳を握って体の脇に下ろす。**頭には尖った石の王冠**が載り、目にあたる隙間が**金色に光る。**口はない。胸の中央には**金色に光る円い核**が嵌り、そこから金の光の筋が体の縦に走る。体じゅうに古代の幾何学的な文様が彫り込まれ、風化して角が丸まり、目地と窪みには苔と地衣が溜まっている。**肩と背の隙間からは、白い蒸気が細く立ちのぼっている。**武器は持たず、両足を地に着けたまま動かずに立っている。,三の段。**武器を持たない**（大槌はゴーレムと古代兵まで）。手ぶらで立つ／**左腕を円柱の塔にする。**ここが最大の見どころ。ゴーレム（人に近い腕）・古代兵（装甲板の腕）との差は、腕が建築になっていること／**光る要素は2つまで＝金色の目と、金色の胸の核。**ゴーレム＝琥珀の目だけ、古代兵＝青白い目と核、この者＝**金**、と光の色で段が上がる／**頭に尖った石の王冠**を載せる（ゴーレムと古代兵は兜のような無冠の頭）／肩と背から白い蒸気を細く立てる。煙を体の外へ大きく広げない／**全身が枠いっぱい。頭が枠の上端に接する**（ゴーレムは余裕をもって収まる、古代兵は枠いっぱい、この者はそれよりさらに大きく見えるよう、カメラを強い見上げにして脚を手前に大きく描く）／風化して角が丸まり、目地と窪みに苔と地衣。全体を緑で覆わない／**毛皮・体毛・獣の顔を描かない。既存の作品やゲームのキャラクターに似せない**／色は砂色と灰＋苔の緑＋金の光。後光なし／全身を枠の内側に収める,合格（v2）,三の段。神殿が歩く。左腕が塔、頭に石の王冠、金色の目と核。光の色で段を作る（琥珀→青白→金）／参考：docs/参考_ゴーレム系.png の右端／第30便v1で合格（塔の左腕・石の王冠・金の核と蒸気）
skald,武勲詩人,bard,2,男,小,半身55,正面,戦場の角笛と、腰に吊った小さな太鼓,使い込まれている,ふつう,吟遊詩人が戦場へ出た姿。四十代半ばの男で、髪に白いものが混じり、短い顎髭を蓄える。頬がこけ、目尻と口元に深い皺。顔か首筋に古い切り傷の痕がひとつ。右手で長い角笛を掲げ、口を離したところ。腰の左に小さな太鼓を吊り、歩きながら打てるようにしてある。ローブの上から軽い革の胸当てを着け、肩に短い外套を掛ける。片足を前に踏み出し、後ろを振り返らずに前へ進む姿勢。口を開いて歌っている。,二の段。道具（楽器）が竪琴から角笛と太鼓へ変わる段。金は角笛の口金ひとつだけ／楽器以外の武器を持たせない。剣も弓も描かない／吟遊詩人（真横・竪琴・柔らかい衣）との差は、半身の向き・角笛・革の胸当て／後光なし。音を光で描かない／角笛の先を体の輪郭の外へ出す／**体・顔・足はすべて右向き**。角笛は右上へ掲げる（一度左向きで上がってきたので必ず確認）／二の段は年上にする。一の段の吟遊詩人（二十歳前後の青年）と同じ年頃にしない／髪の毛先を細かくほぐさない。大きな束にまとめる（切り抜きで毛先に背景色がかぶるため）,合格（v2）,二の段。歌が「宴のもの」から「戦場のもの」へ／第28便v2で合格（右向き・四十代・白髪混じり）
bragi,ブラギ,bard,3,男,小,浅い斜め20,見上げ,手を離れて浮く竪琴と、体の周りを巡る彫られた文字,整っている,簡素,老いた語り部。腰まで届く長い白髭。厚い暗色の羊毛の外套を肩から掛け、両手は体の脇に下ろしている。竪琴は手から離れ、体の左横の空中にそのまま静止している。口はわずかに開き、舌に刻まれた古い文字がかすかに光る。その口から出た言葉が、彫られた文字の連なりとなって体の周りをゆっくり巡っている。視線は語る相手ではなく、遠くを見ている。,三の段。本人は動かない。動いているのは浮いた竪琴と、巡る文字だけ／竪琴を握らせない。必ず宙に浮かせる／文字は読める言語にしない。架空の刻み文字にする／楽器以外の武器を持たせない／金も宝石も使わない。素材（厚い羊毛と、古い木＋擦れた銀の弦）で位を上げる／後光なし。光るのは舌の文字と、巡る文字のふちだけ／人として描く。翼も神の意匠も付けない（神ではなく、詩によって語り継がれた人）,合格（v2）,三の段＝本人は動かず、不在で示す。伝承の印は「長い髭」と「舌に刻まれたルーン」。神獣系ではなく人系／第28便v1で合格（浮く竪琴・巡るルーン・長い白髭）
phoenix,フェニックス,salamander,2,－,大,半身55,見上げ,実体のある羽根を持つ大鳥と、尾から渦を巻いて体を巡る炎の帯,－,簡素,**実体を持つ大きな鳥。**サラマンダー（炎そのものでできた実体のない蛇）が**神獣に上がって体を得た姿**。ここが段の分かれ目。羽根は一枚一枚がはっきりした形を持ち、炎の舌ではなく**鳥の羽根**として重なっている。硬い嘴、鋭い眼、鱗のある脚と曲がった鉤爪を持つ。翼を左右に大きく広げ、頭を高く上げる。**尾からは長い飾り羽が何本も伸び、渦を巻く炎の帯（線）となって体の周りを巡っている。**この帯は太い塗りではなく、細く流れる曲線として描く。色は体の芯が白金、羽根の先へ向かうほど橙から朱へ落ちる。胸と翼の付け根からは炎がにじみ出て、羽根と炎の境目が溶け合っている。,二の段。**サラマンダー＝実体のない炎そのもの／フェニックス＝実体のある鳥＋炎**。ここで見分ける。全身を炎の塊にしない／**羽根を一枚ずつ、形のあるものとして描く**。炎の舌の集まりにしない。嘴・眼・脚・鉤爪は実体として描く／**尾から伸びる長い飾り羽を、渦を巻く細い炎の帯（線）にする。**体の周りを巻くように流し、太い塗りではなく曲線で描く／人型にしない。鳥の骨格を保つ／性別を示す特徴を描かない／持ち物なし。武器も装身具も描かない／色は芯が白金、外へ橙から朱。全体を真っ赤にしない／半透明の炎はマゼンタと混ざるので、炎の内側までしっかり色を置く。輪郭を背景に溶かさず、はっきりした縁で終わらせる／後光なし／翼と尾の帯の先を枠の内側に収める,合格（v2）,精霊から神獣へ上がる段の意味＝「実体を得る」。サラマンダーは炎そのもの、フェニックスは実体の鳥に炎が融合する／第29便v2で合格（実体の羽根・嘴と鉤爪・尾から渦を巻く炎の帯）
jotunn,ヨトゥン,frost,2,男,大,浅い斜め20,見上げ,振り上げた砥石の楔と、吹き上がる霧氷の髪と髭,－,簡素,巨大な人の形をした霜の巨人。**荒れ狂っている。**右腕を高く振り上げ、**砥石の楔**——柄のない、荒く割れた灰色の巨石の塊——を握って、いまにも叩きつけようとしている。左腕は体の前へ払うように開く。腰を落として前傾し、口を大きく開けて吼えている。肌は青灰の石のようで、表面に霜が薄く張り、あちこちに亀裂が走る。**髪と髭は氷柱と霧氷が絡み合い、吹雪に煽られて後ろへ吹き上がっている。**眉と頬骨が高く、目は落ちくぼんで白く光る。**胸の奥に、淡い青の核がひとつ透けて見える。**肩・肘・膝の外側では、石の肌を割って霧氷の結晶が大きく外へ突き出している。腰から下は厚い霜の層に覆われている。全身が枠いっぱいに描かれる。,二の段。**フリム（顔のない小さな結晶の集まり・実体なし）から、人の骨格と顔を得た姿**。精霊→神獣は「実体を得る」段（フェニックスと同じ理屈）／**砥石の楔を握る。**柄も刃もない、荒く割れた灰色の石の塊。剣・斧・槌にしない（北欧神話の霜の巨人フルングニルが砥石を武器にした故事による）。これは装備ではなく、自分の体から割り取った石として描く／**荒々しく。**腕を振り上げ、腰を落として前傾し、口を開けて吼える。棒立ちにしない／髪と髭を吹雪で後ろへ吹き上げる／怪物や鬼にしない。人の骨格を保つ／**顔を必ず描く**（顔がないのはフリムだけ）／鎧・服・装身具は着けない。腰から下は霜の層で覆う／結晶を体の輪郭の外へ大きく出す（フリムと同じ印）／光るのは胸の核ひとつだけ。後光なし／全身が枠いっぱい（フリムは小さく余裕をもって収まる）,合格（v2）,北欧神話の霜の巨人（フリムスルサル）。ユミルの血統で、髪と髭に霧氷、頭は石のように硬い。武器は石のフルングニルが用いた「砥石」を借りる。混沌・自然の猛威を体現する存在／第29便v2で合格（砥石の楔を振り上げる・吹き上がる霧氷の髪と髭）
odin,オーディン,valkyrie,2,男,中,斜め35,見上げ,失われた片目と、まっすぐ立てた長槍と、背後の二羽の鴉,使い込まれている,ふつう,隻眼の老いた戦士。片目は眼帯ではなく、閉じたまま塞がった瞼として描く。もう一方の目は鋭く見開いている。長い白髭。つばの広い深い帽子ではなく、額を出した簡素な鉄の額冠。厚い灰青の外套を肩から掛け、その下に使い込まれた鎧。右手で長槍の柄を握り、穂先を上へまっすぐ立てている。背後の左右に、大きな鴉が二羽、肩の高さで羽を休めている。,二の段。金は額冠の一箇所だけ。宝石なし／翼を持たせない（翼はヴァルキリーの印。この段では鴉が担う）／鴉は二羽。実体のある鳥として描き、光らせない／ヴァルキリー（女・白い翼・磨いた軽鎧）から男へ変わる段。顔つきと体格ではっきり別人にする／後光なし／槍の穂先と石突を枠の内側に収める,合格（v2）,神獣系は出自としての神獣。ヴァルキリー（女）→オーディン（男）で性別が変わる段／第23便v1で合格（隻眼・白髭・額冠・二羽の鴉・立てた長槍）
spearmaster,槍術士,spearman,2,男,小,斜め35,正面,頭ひとつぶんより長い幅広の穂先と、深紅の房。それを腰の高さで水平に構える形,使い込まれている,ふつう,三十代後半の熟練兵。**兜を脱いでいる。**短く刈った黒髪、額に銀の鉢金（一枚の帯金）を巻き、顔全体がはっきり見える。左の眉を割る古い傷。磨かれた銀色の鎖帷子の上に、濃藍の陣羽織。**膝まで届く長い前垂れ**になっていて、縁は白。胸の左に、槍を二本交差させた金の縁取りの紋章がひとつ。**膝が直角になるまで腰を深く沈め**、右足を大きく前へ踏み出す。槍を腰の高さで水平に構え、穂先は右、柄尻は左後ろへ。前の手は柄の中ほど、後ろの手は柄尻寄りを握る。**穂先が異様に大きい。**刃渡りは彼の頭ひとつぶんより長く、幅広の両刃で、中央に鎬（しのぎ）が高く立つ。穂先の根本に金の環がひとつと、**深紅の房**が垂れる。柄は黒漆塗り、柄尻に鉄の環。突き出す直前の、止まった一瞬。,**槍兵（一の段）との違いを、次の4点で必ず出す**／違い①「兜」　槍兵は鋼の円錐兜をかぶる。槍術士は兜を脱ぎ、額に銀の鉢金を巻いて顔が全部見える／違い②「丈」　槍兵の陣羽織は腰までの短い深緑。槍術士は膝まで届く濃藍の長い前垂れ／違い③「穂先」槍兵の穂先はふつうの大きさ。槍術士の穂先は頭ひとつぶんより長い幅広の刃で、深紅の房が付く／違い④「構え」槍兵は槍を斜め上へ突き上げる。槍術士は膝が直角になるまで沈み、腰の高さで水平に構える／剣を持たせない／外套・マント・毛皮を一切着けない（前垂れは陣羽織の一部。マントのように肩から背中へ垂らさない）／板金の胸当てや大きな肩当ては付けない。鎖帷子＋陣羽織のまま／金は2箇所だけ（穂先根本の環と、胸の紋章）。宝石は使わない。前垂れの縁は白で、金にしない／光る要素は作らない。金属の反射だけ／穂先も柄の端も枠の内側に収める（画面の外に出さない）／農夫や町人に見せない。兵士の硬さと、技を修めた者の落ち着き,合格（v2）,二の段＝道具そのものが特別になる。兜を脱ぐ・長い前垂れ・巨大な穂先と房・低い構え、の4点で一の段と離す／第26便v2で合格（兜を脱ぎ鉢金・膝丈の濃藍の前垂れ・大きな穂先と深紅の房・低い構え）。最終稿はkazuがGPT側で微調整
dragonslayer,竜殺し,spearman,3,男,小,半身55,見上げ,竜の頭骨から作った兜と、片手で振りかぶった白銀の長槍「竜殺し」,整っている,簡素,四十代の寡黙な戦士。**空中にいる。**竜の背から跳び、いま真下の敵へ落ちていく途中。最強の一撃を突き下ろす直前の、止まった一瞬。**頭には、倒した竜の頭骨から作った兜をかぶる。**竜の上顎と鼻梁の骨をそのまま額から後頭部へ載せた形で、空の眼窩が前を向き、左右に短い角が二本、後ろへ反る。骨の縁に沿って牙が額の上に並ぶ。骨は灰白。**兜は面を持たない。**彼の目・鼻・口はその下からはっきり見え、白髪の混じった短い髪が兜の後ろから出る。頬から顎にかけて古い裂傷がひとつ。**右手一本**で白銀の長槍「竜殺し」の柄の中ほどを握り、腕を頭の上へ大きく振りかぶる。槍は体の右側を上から下へ斜めに走り、**穂先は前の下（右下）**を向く。左手は指を開いて体の前へ差し出し、落下の姿勢を支えている。体は前へ深く傾き、右膝を高く引き上げて畳み、左脚は後ろへ流れる。視線は前の下——これから貫く相手——へ向けるが、あごを引きすぎず、両目が見える。鎖帷子は白銀に変わり、その上に骨白の絹の陣羽織（袖なし、腰まで）。裏地は深紅。肩当ては白銀の一枚板で、骨の飾りは付けない（骨は兜だけ）。落下しているので、陣羽織の裾と髪は**下からあおられて上へ逆立つ**。体の周りには、砕けた竜の鱗が三枚ほど、上へ流れていく。鱗のふちにだけ、消えかけた残り火の淡い橙がにじむ。,**竜の骨は兜ひとつだけ。**肩には掛けない（前の案から変更）。骨が体に2箇所以上あると散らかる／**兜で顔を隠さない。**面頬・仮面にしない。目・鼻・口は必ず全部見える／兜の角は短く、後ろへ反らせる。前や上へ大きく伸ばして枠を割らない／**槍は片手で握る。**両手持ちにしない。もう一方の手は空けて、指を開いて前へ差し出す／剣を持たせない／竜そのものを描かない。竜の印は、兜になった頭骨と、流れる鱗だけ／外套・マント・毛皮を着けない。陣羽織だけ／**地面・床・台・落下先の敵を描かない。**背景はマゼンタ一色のまま。落下の途中だと、体の傾きと、上へ逆立つ布と髪、上へ流れる鱗だけで分からせる／**シルエットは縦長に保つ。**体を横倒しにしない。頭は枠の上寄り／穂先も柄尻も枠の内側に収める（画面の外に出さない）／素材で格を上げる。鋼→白銀、麻→絹。金と宝石は使わない／光るのは流れる鱗のふちだけ（ひとつ）。槍と顔と兜は光らせない／後光なし／叫ばせない。口は閉じる。静かな殺意,合格（v2）,三の段。竜の骨は兜ひとつに集約（肩の顎骨は廃止）。落下の頂点で時が止まった一瞬として描く／第26便v2で合格（竜の意匠の兜・深紅の外套・空中からの一撃）。最終稿はkazuがGPT側で微調整。兜は面で顔を覆う形になったが、色と形が強いので採用
